random forest  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Leaf area index of boreal forests: Theory, techniques, and measurements","Chen, JM; Rich, PM; Gower, ST; Norman, JM; Plummer, S","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","DEC 26 1997","1997","102","D24","","","","29429","29443","","10.1029/97JD01107","","","649","24.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","20","26","18","31","27","25","29","29","22","29","31","21","33","35","35","38","34","28","28","38","26","31","0"
"Comprehensive comparison of gap-filling techniques for eddy covariance net carbon fluxes","Moffat, Antje M.; Papale, Dario; Reichstein, Markus; Hollinger, David Y.; Richardson, Andrew D.; Barr, Alan G.; Beckstein, Clemens; Braswell, Bobby H.; Churkina, Galina; Desai, Ankur R.; Falge, Eva; Gove, Jeffrey H.; Heimann, Martin; Hui, Dafeng; Jarvis, Andrew J.; Kattge, Jens; Noormets, Asko; Stauch, Vanessa J.","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 10 2007","2007","147","3-4","","","","209","232","","10.1016/j.agrformet.2007.08.011","","","568","35.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","20","42","33","34","55","45","42","46","49","44","38","48","50","3"
"A multi-site analysis of random error in tower-based measurements of carbon and energy fluxes","Richardson, AD; Hollinger, DY; Burba, GG; Davis, KJ; Flanagan, LB; Katul, GG; Munger, JW; Ricciuto, DM; Stoy, PC; Suyker, AE; Verma, SB; Wofsy, SC","","","","AGRICULTURAL AND FOREST METEOROLOGY","JAN 11 2006","2006","136","1-2","","","","1","18","","10.1016/j.agrformet.2006.01.007","","","342","20.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","18","22","23","35","28","22","22","22","30","23","21","18","19","20","14","0"
"Vegetation characteristics and underlying topography from interferometric radar","Treuhaft, RN; Madsen, SN; Moghaddam, M; vanZyl, JJ","","","","RADIO SCIENCE","NOV-DEC 1996","1996","31","6","","","","1449","1485","","10.1029/96RS01763","","","279","10.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","14","15","7","9","11","4","10","13","5","11","11","10","13","7","10","17","16","18","23","20","13","17","2"
"Landslide susceptibility estimation by random forests technique: sensitivity and scaling issues","Catani, F.; Lagomarsino, D.; Segoni, S.; Tofani, V.","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2013","2013","13","11","","","","2815","2831","","10.5194/nhess-13-2815-2013","","","273","27.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","19","29","30","38","68","68","3"
"Scales of temporal and spatial variability of midlatitude soil moisture","Vinnikov, KY; Robock, A; Speranskaya, NA; Schlosser, A","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","MAR 20 1996","1996","101","D3","","","","7163","7174","","10.1029/95JD02753","","","252","9.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","12","8","11","11","15","10","11","11","10","18","5","9","9","15","6","12","11","15","15","7","6","10","4","0"
"Sampling error in eddy correlation flux measurements","Finkelstein, PL; Sims, PF","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","FEB 27 2001","2001","106","D4","","","","3503","3509","","10.1029/2000JD900731","","","239","10.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","1","5","0","4","3","4","7","8","9","6","22","19","23","30","30","31","28","0"
"Sensitivity and uncertainty of the carbon balance of a Pacific Northwest Douglas-fir forest during an El Nino La Nina cycle","Morgenstern, K; Black, TA; Humphreys, ER; Griffis, TJ; Drewitt, GB; Cai, TB; Nesic, Z; Spittlehouse, DL; Livingstone, NJ","","","","AGRICULTURAL AND FOREST METEOROLOGY","JUN 20 2004","2004","123","3-4","","","","201","219","","10.1016/j.agrformet.2003.12.003","","","236","12.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","23","20","28","20","18","13","15","19","11","13","7","9","9","5","7","7","0"
"A COMPARISON OF DIRECT AND INDIRECT METHODS FOR ESTIMATING FOREST CANOPY LEAF-AREA","CHASON, JW; BALDOCCHI, DD; HUSTON, MA","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 1991","1991","57","1-3","","","","107","128","","10.1016/0168-1923(91)90081-Z","","","202","6.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","10","9","8","5","13","10","10","1","9","9","6","5","7","4","4","9","5","10","5","9","10","5","7","3","10","7","4","1"
"Comparison of decision tree methods for finding active objects","Zhao, Yongheng; Zhang, Yanxia","","","","ADVANCES IN SPACE RESEARCH","2008","2008","41","12","","","","1955","1959","","10.1016/j.asr.2007.07.020","","","154","10.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","5","4","2","7","13","14","16","24","21","16","25","1"
