decision tree  (Abstract)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"A new map of global urban extent from MODIS satellite data","Schneider, A.; Friedl, M. A.; Potere, D.","","","","ENVIRONMENTAL RESEARCH LETTERS","OCT-DEC 2009","2009","4","4","","","","","","044003","10.1088/1748-9326/4/4/044003","","","500","35.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","19","24","31","44","52","51","73","50","59","45","43","2"
"CLASSIFICATION OF SNOW COVER AND PRECIPITATION USING THE SPECIAL SENSOR MICROWAVE IMAGER","GRODY, NC","","","","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","APR 20 1991","1991","96","D4","","","","7423","7435","","10.1029/91JD00045","","","362","11.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","11","14","18","18","10","12","16","12","9","7","7","5","11","19","14","13","13","14","17","16","18","20","15","9","13","8","7","0"
"Derechos: Widespread Convectively Induced Windstorms","Johns, Robert H.; Hirt, William D.","","","","WEATHER AND FORECASTING","MAR 1987","1987","2","1","","","","32","49","","10.1175/1520-0434(1987)002<0032:DWCIW>2.0.CO;2","","","223","6.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","1","2","2","4","1","3","16","5","8","6","10","6","9","6","10","7","4","11","11","9","11","5","10","10","7","5","9","11","14","3","0"
"Comparison of decision tree methods for finding active objects","Zhao, Yongheng; Zhang, Yanxia","","","","ADVANCES IN SPACE RESEARCH","2008","2008","41","12","","","","1955","1959","","10.1016/j.asr.2007.07.020","","","154","10.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","5","4","2","7","13","14","16","24","21","16","25","1"
"Use of three-dimensional reflectivity structure for automated detection and removal of nonprecipitating echoes in radar data","Steiner, M; Smith, JA","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","MAY 2002","2002","19","5","","","","673","686","","10.1175/1520-0426(2002)019<0673:UOTDRS>2.0.CO;2","","","151","7.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","5","6","6","9","15","9","7","15","12","17","11","5","7","6","4","6","2"
"Evaluation of SVM, ELM and four tree-based ensemble models for predicting daily reference evapotranspiration using limited meteorological data in different climates of China","Fan, Junliang; Yue, Wenjun; Wu, Lifeng; Zhang, Fucang; Cai, Huanjie; Wang, Xiukang; Lu, Xianghui; Xiang, Youzhen","","","","AGRICULTURAL AND FOREST METEOROLOGY","DEC 15 2018","2018","263","","","","","225","241","","10.1016/j.agrformet.2018.08.019","","","139","27.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","45","67","3"
"Multi-variate flood damage assessment: a tree-based data-mining approach","Merz, B.; Kreibich, H.; Lall, U.","","","","NATURAL HAZARDS AND EARTH SYSTEM SCIENCES","2013","2013","13","1","","","","53","64","","10.5194/nhess-13-53-2013","","","127","12.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","8","12","19","15","20","25","17","1"
"GIS-based landslide susceptibility modelling: a comparative assessment of kernel logistic regression, Naive-Bayes tree, and alternating decision tree models","Chen, Wei; Xie, Xiaoshen; Peng, Jianbing; Wang, Jiale; Duan, Zhao; Hong, Haoyuan","","","","GEOMATICS NATURAL HAZARDS & RISK","2017","2017","8","2","","","","950","973","","10.1080/19475705.2017.1289250","","","112","18.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","18","32","29","28","0"
"Spatial prediction of flood susceptibility using random-forest and boosted-tree models in Seoul metropolitan city, Korea","Lee, Sunmin; Kim, Jeong-Cheol; Jung, Hyung-Sup; Lee, Moung Jin; Lee, Saro","","","","GEOMATICS NATURAL HAZARDS & RISK","2017","2017","8","2","","","","1185","1203","","10.1080/19475705.2017.1308971","","","107","17.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","19","36","41","3"
"Binary logistic regression versus stochastic gradient boosted decision trees in assessing landslide susceptibility for multiple-occurring landslide events: application to the 2009 storm event in Messina (Sicily, southern Italy)","Lombardo, L.; Cama, M.; Conoscenti, C.; Maerker, M.; Rotigliano, E.","","","","NATURAL HAZARDS","DEC 2015","2015","79","3","","","","1621","1648","","10.1007/s11069-015-1915-3","","","102","12.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","16","20","21","28","9","3"
